machine_id,timestamp,temperature,vibration,pressure,rpm,tempz,temp_rolling_mean,vibration_spike,failure_date,failure_type,repair_time_hours,technician,hours_before_failure,plant,machine_type,install_year,units_produced,defects,shift,year,machine_age_years,good_units,defect_rate,availability,quality_score,performance,OEE
M101,2024-01-09 08:00:00,65.0,0.45,30.0,1500,0.5253231307408752,65.0,0,2024-01-10,Motor,6,Tech_A,16.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.75,0.0,1,0.0
M101,2024-01-09 08:00:00,65.0,0.45,30.0,1500,0.5253231307408752,65.0,0,2024-03-14,Bearing,4,Tech_B,1552.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M101,2024-01-09 08:00:00,65.0,0.45,30.0,1500,0.5253231307408752,65.0,0,2024-05-10,Motor,7,Tech_A,2920.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.7083333333333333,0.0,1,0.0
M101,2024-01-09 12:00:00,70.0,0.45,31.0,1490,0.0875538551234792,67.5,0,2024-01-10,Motor,6,Tech_A,12.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.75,0.0,1,0.0
M101,2024-01-09 12:00:00,70.0,0.45,31.0,1490,0.0875538551234792,67.5,0,2024-03-14,Bearing,4,Tech_B,1548.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M101,2024-01-09 12:00:00,70.0,0.45,31.0,1490,0.0875538551234792,67.5,0,2024-05-10,Motor,7,Tech_A,2916.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.7083333333333333,0.0,1,0.0
M101,2024-01-09 16:00:00,72.0,0.52,30.0,1505,0.0875538551234792,71.0,0,2024-01-10,Motor,6,Tech_A,8.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.75,0.0,1,0.0
M101,2024-01-09 16:00:00,72.0,0.52,30.0,1505,0.0875538551234792,71.0,0,2024-03-14,Bearing,4,Tech_B,1544.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M101,2024-01-09 16:00:00,72.0,0.52,30.0,1505,0.0875538551234792,71.0,0,2024-05-10,Motor,7,Tech_A,2912.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.7083333333333333,0.0,1,0.0
M101,2024-01-10 06:00:00,85.0,0.8,35.0,1450,1.2257539717287087,78.5,0,2024-01-10,Motor,6,Tech_A,-6.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.75,0.0,1,0.0
M101,2024-01-10 06:00:00,85.0,0.8,35.0,1450,1.2257539717287087,78.5,0,2024-03-14,Bearing,4,Tech_B,1530.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M101,2024-01-10 06:00:00,85.0,0.8,35.0,1450,1.2257539717287087,78.5,0,2024-05-10,Motor,7,Tech_A,2898.0,Plant_A,CNC,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.7083333333333333,0.0,1,0.0
M102,2024-02-04 09:00:00,60.0,0.4,28.0,1550,0.9630924063582712,60.0,0,2024-02-05,Hydraulic,9,Tech_C,15.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.625,0.0,1,0.0
M102,2024-02-04 09:00:00,60.0,0.4,28.0,1550,0.9630924063582712,60.0,0,2024-06-12,Hydraulic,8,Tech_C,3087.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.6666666666666667,0.0,1,0.0
M102,2024-02-04 13:00:00,60.0,0.42,29.0,1540,0.9630924063582712,60.0,0,2024-02-05,Hydraulic,9,Tech_C,11.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.625,0.0,1,0.0
M102,2024-02-04 13:00:00,60.0,0.42,29.0,1540,0.9630924063582712,60.0,0,2024-06-12,Hydraulic,8,Tech_C,3083.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.6666666666666667,0.0,1,0.0
M102,2024-02-05 05:00:00,88.0,1.1,38.0,1420,1.4884155370991463,74.0,0,2024-02-05,Hydraulic,9,Tech_C,-5.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.625,0.0,1,0.0
M102,2024-02-05 05:00:00,88.0,1.1,38.0,1420,1.4884155370991463,74.0,0,2024-06-12,Hydraulic,8,Tech_C,3067.0,Plant_A,Press,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.6666666666666667,0.0,1,0.0
