machine_id,failure_date,failure_type,repair_time_hours,technician
M101,2024-01-10,Motor,6,Tech_A
M101,2024-03-14,Bearing,4,Tech_B
M102,2024-02-05,Hydraulic,9,Tech_C
M103,2024-01-22,Sensor,3,Tech_A
M104,2024-02-18,Electrical,7,Tech_D
M105,2024-03-10,Motor,5,Tech_A
M106,2024-01-30,Hydraulic,8,Tech_C
M107,2024-02-12,Bearing,4,Tech_B
M108,2024-03-01,Sensor,2,Tech_A
M109,2024-01-15,Electrical,6,Tech_D
M110,2024-02-25,Motor,7,Tech_A
M111,2024-03-05,Bearing,3,Tech_B
M112,2024-01-28,Hydraulic,10,Tech_C
M113,2024-02-20,Sensor,2,Tech_A
M114,2024-03-15,Electrical,5,Tech_D
M115,2024-01-18,Motor,6,Tech_A
M101,2024-05-10,Motor,7,Tech_A
M102,2024-06-12,Hydraulic,8,Tech_C
M106,2024-05-22,Bearing,4,Tech_B
M109,2024-06-01,Electrical,5,Tech_D
M112,2024-06-15,Hydraulic,9,Tech_C
M110,2024-05-25,Motor,6,Tech_A
M107,2024-06-08,Sensor,3,Tech_A
M104,2024-05-18,Electrical,8,Tech_D
M115,2024-06-20,Bearing,4,Tech_B
