machine_id,date,units_produced,defects,shift
M101,2024-01-11,1200,15,A
M101,2024-01-12,1180,18,B
M102,2024-02-06,1500,25,A
M103,2024-01-23,980,10,C
M104,2024-02-19,1100,20,B
M105,2024-03-11,1300,14,A
M106,2024-01-31,1400,30,C
M107,2024-02-13,1000,12,A
M108,2024-03-02,900,8,B
M109,2024-01-16,1250,22,C
M110,2024-02-26,1600,35,A
M111,2024-03-06,1050,9,B
M112,2024-01-29,1550,40,C
M113,2024-02-21,1150,7,A
M114,2024-03-16,1450,18,B
M115,2024-01-19,980,11,C
M101,2024-05-11,1190,19,A
M102,2024-06-13,1480,28,B
M106,2024-05-23,1380,26,C
M109,2024-06-02,1220,20,A
M112,2024-06-16,1500,38,B
M110,2024-05-26,1580,32,C
M107,2024-06-09,990,15,A
M104,2024-05-19,1080,21,B
M115,2024-06-21,970,13,C
