machine_id,timestamp,temperature,vibration,pressure,rpm
M101,2024-01-09 08:00,65,0.45,30,1500
M101,2024-01-09 12:00,70,,31,1490
M101,2024-01-09 16:00,72,0.52,30,1505
M101,2024-01-10 06:00,85,0.80,35,1450
M101,2024-01-10 07:00,120,2.50,55,1300
M101,2024-01-10 07:00,120,2.50,55,1300
M102,2024-02-04 09:00,60,0.40,28,1550
M102,2024-02-04 13:00,,0.42,29,1540
M102,2024-02-05 05:00,88,1.10,38,1420
M103,2024-01-21 10:00,55,0.35,25,1600
M103,2024-01-22 08:00,75,0.75,33,1480
M104,2024-02-17 11:00,68,0.48,30,1520
M104,2024-02-18 06:00,200,3.20,70,1200
M105,2024-03-09 08:00,63,0.42,29,1510
M105,2024-03-10 07:00,84,1.00,,1430
M106,2024-01-29 09:00,67,0.50,30,1505
M106,2024-01-30 05:00,89,1.15,39,1410
M107,2024-02-11 10:00,58,0.38,27,1580
M107,2024-02-12 06:00,76,,34,1460
M108,2024-02-28 09:00,54,0.30,24,1620
M108,2024-03-01 07:00,72,0.70,32,1490
M109,2024-01-14 08:00,66,0.47,29,1515
M109,2024-01-15 06:00,91,1.25,41,1390
M110,2024-02-24 08:00,62,0.44,28,1540
M110,2024-02-25 06:00,87,1.05,37,1425
M111,2024-03-04 09:00,59,0.39,26,1570
M111,2024-03-05 06:00,73,0.82,33,1475
M112,2024-01-27 08:00,69,0.49,31,1500
M112,2024-01-28 05:00,94,1.40,45,1350
M113,2024-02-19 09:00,57,0.36,25,1590
M113,2024-02-20 06:00,74,0.78,32,1485
M114,2024-03-14 09:00,61,0.41,28,1530
M114,2024-03-15 06:00,83,0.95,35,1440
M115,2024-01-17 08:00,64,0.46,29,1510
M115,2024-01-18 06:00,-10,1.10,38,1420
